cid,district,subway,community_average
1111027373683,1,1,95763
1111027373684,1,1,87076
1111027373685,1,1,86883
1111027373686,7,0,82664
1111027373689,1,1,94481
1111027373690,7,1,64855
1111027373691,7,1,62837
1111027373694,7,1,102606
1111027373695,7,1,101662
1111027373696,7,1,44835
1111027373697,8,0,69557
1111027373698,1,1,93200
1111027373705,8,1,79927
1111027373708,7,1,48116
1111027373709,7,1,58475
1111027373710,1,1,59015
1111027373716,3,1,46608
1111027373720,1,1,135673
1111027373721,1,1,59015
1111027373722,10,1,123885
1111027373726,10,0,108223
1111027373728,10,0,109286
1111027373731,1,1,101703
1111027373732,1,1,111492
1111027373733,1,1,95123
1111027373735,7,1,50296
1111027373737,7,1,58694
1111027373738,7,1,63737
1111027373740,7,1,58820
1111027373742,7,1,54933
1111027373750,10,1,112300
1111027373753,7,1,80553
1111027373755,10,1,59015
1111027373756,7,1,50512
1111027373759,1,1,129091
1111027373760,1,1,59015
1111027373761,1,1,127542
1111027373774,7,0,44253
1111027373783,1,1,101646
1111027373785,1,1,119588
1111027373786,1,1,116842
1111027373788,4,0,41688
1111027373797,8,1,95921
1111027373798,8,1,114107
1111027373799,10,1,96259
1111027373802,7,0,39306
1111027373803,10,1,59015
1111027373806,7,0,68904
1111027373808,2,0,64266
1111027373809,10,1,96704
1111027373812,7,1,61067
1111027373813,7,0,61947
1111027373814,7,0,62404
1111027373820,7,0,36943
1111027373823,1,1,59015
1111027373828,1,1,107232
1111027373829,1,1,103404
1111027373832,6,0,32068
1111027373833,6,0,55134
1111027373834,6,0,37931
1111027373835,6,0,38270
1111027373836,6,0,36167
1111027373837,11,1,44545
1111027373844,7,1,61601
1111027373846,7,1,55177
1111027373848,1,1,92009
1111027373850,10,1,153344
1111027373852,1,1,110599
1111027373853,1,0,112051
1111027373855,1,1,104777
1111027373856,1,1,99711
1111027373858,1,1,79389
1111027373859,1,1,75659
1111027373860,1,1,70935
1111027373861,1,1,74384
1111027373863,10,0,112341
1111027373864,10,1,121915
1111027373865,10,1,128756
1111027373867,10,1,114759
1111027373873,10,1,99634
1111027373874,10,1,104570
1111027373875,8,1,86182
1111027373881,10,0,53521
1111027373882,10,1,131943
1111027373883,10,1,127701
1111027373886,1,1,100847
1111027373887,10,0,54289
